,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
260587,3Tj4KduSfthf0LJhYI45yP,Žádná Bouřka Věčně Netrvá,23,194853,0,['Michal David'],['6rA1HqwDyDDRcq6WHTwr2G'],1991,0.632,0.866,8,-12.529,1,0.0647,0.0123,0.0,0.22,0.724,117.0,4
247184,6vvxWfhIBewA9g7Sk3TGlY,Madame Ivonne (with Leopoldo Federico y Su Orquesta),10,185240,0,"['Julio Sosa', 'Leopoldo Federico y su Orquesta']","['7Cg2eqV6oHNE0P54WfajIX', '2QtuDqkuMbNQlmGgMbPBOA']",1963-03-01,0.475,0.661,2,-8.63,1,0.222,0.871,2e-06,0.319,0.567,110.572,4
326108,2HSxGmTggzoIJIkpII9EcH,"Månen tur och retur, del 12",22,41800,0,"['Tintin', 'Tomas Bolme', 'Bert-Åke Varg']","['6aMD1KAa5i3Myy61cR8FiW', '7HjbJ8V87zrxkSzL1KieQk', '71ADe4Zg9UyE8WQEHbJSXM']",1977-06-05,0.73,0.291,8,-16.738,1,0.962,0.607,0.0,0.282,0.764,97.547,3
416444,0TYt1vngPocfkK2YHvu7Ze,WAIT,57,186000,0,['E.SO'],['2qXGNIlmY3JrYkxOWyXZsd'],2020-07-10,0.799,0.787,8,-5.341,1,0.0544,0.174,0.000115,0.138,0.274,90.001,4
367187,0E6tqUYiKf1UYEx71nKU4K,Onun Şarkısı,32,273893,0,['Yavuz Çetin'],['4inwzuD2iBZK8Ck3ft7Wlk'],1997-11-17,0.515,0.42,7,-7.678,1,0.0327,0.115,1.39e-06,0.0636,0.2,179.946,3
558976,2SrfH3HpaI8WUXSGKW8C0N,田園,39,220173,0,['Anzen Chitai'],['3EAqVJtaxnPcWYlHXkHcuC'],2011-01-01,0.491,0.891,7,-4.18,1,0.04,0.0633,0.0,0.657,0.692,151.957,4
254826,5Y7Lt08Xc885tzG5kKTZ4u,Aves Migratorias,41,202827,0,['Skay Beilinson'],['4K8Mrjr9IvA8QU0Vjj4BED'],2010-04-12,0.744,0.823,9,-6.44,1,0.0307,0.0133,0.427,0.0919,0.962,120.018,4
344011,7iElm7t6t9vdaP3rIRrCKq,Det Brenner Under Beina Mine,35,170720,1,['Oslo Ess'],['0uDxCS9qmxWJTWCSLAK8Rr'],2014-02-17,0.514,0.942,6,-3.644,0,0.0431,0.00059,2.53e-05,0.238,0.936,159.941,4
517807,3VRrweyCe0ZM2oA4cPteZW,Kalyana Ponnu Kannana,3,216770,0,['T. M. Soundararajan'],['4y01WeCT5mNIAYRPjJ4sgj'],1964-03-11,0.419,0.795,11,-5.233,1,0.185,0.821,0.00786,0.105,0.887,77.408,4
573997,4XuhtyNxbbj69rLpVXONiq,I Love the Lord,29,287600,0,"['Jesuit Music Ministry', 'Sr. Bubbles Bandojo rc', 'Arnel DC. Aquino Sj', 'Rey Malipot']","['1uuFddQffRild1ln1W0u8v', '5CLK1XLj8BdvKn2PACSxDj', '2cUbJdYCo4RiAiTDCemgHF', '6Y0rHPNM6uy3XQlzkAeDTu']",2003,0.26,0.0937,0,-18.311,1,0.0408,0.985,0.00345,0.113,0.225,174.376,4
287844,1HarHH5lL7Vvk2oaNeMNs1,File Mou File,3,216440,0,['Paschalis & Olympians'],['6zp40AML9jq1ER5RDGZ1ha'],1967,0.65,0.477,9,-11.867,0,0.0305,0.568,1.36e-06,0.107,0.822,128.781,4
458472,7raYRoFNdENg5bIt80JXsq,Aylam,21,273933,0,['Aït Menguellet'],['3yINbCnI314mJ6Fk8rI8tQ'],1984,0.549,0.484,0,-12.817,1,0.0424,0.728,0.00426,0.109,0.908,137.544,4
126512,2pa96dSFmYfIV284Fivscl,Para Los Rumberos,34,243093,0,['Tito Puente'],['6SPpCqM8gOzrtICAxN5NuX'],1972-12-31,0.542,0.925,5,-5.026,1,0.0455,0.382,0.868,0.366,0.932,132.977,4
