,id,followers,genres,name,popularity
716254,2GqWu1XcQ4fTUvOvKuvGGE,16.0,[],Ernst Weiland,0
261539,5MDXaqJobxiJcwtM6Ailo6,3085.0,['ecuadorian alternative rock'],Guanaco MC,5
586877,7KkfxJgA8y6nkEslNADD3b,71.0,[],Anishka,11
56710,085ikPEMf8r0fZlAwpsrQY,0.0,[],Mithu Michael,0
128675,050KIPPvzaFkoM0niDLeRD,2.0,[],La swerv,0
573460,6zoUjw5wQMe5zkkSZMJ9Wh,112.0,[],Ásgerður Júníusdóttir,4
576633,6UrO371kJ4YwjsOQbxoTW0,53.0,[],Schmoxx,0
66483,77FK5F2AWebXG5IiEnoHLv,15202.0,"['swedish hip hop', 'swedish reggae', 'swedish trap pop']",AKI,50
379212,2xfQsqUQZfQ3Xi0Qm1Wk01,13.0,[],Helt Oncal,0
52674,3BT1DKS4snKhR0UZMHB0Nt,40.0,[],JazBrothers,16
88124,5aoGbXyzG1fIzcRVSrO8t1,5.0,[],Butta Go Harder,9
34091,07UckuzCqIeeHoTajiftLv,2.0,[],Badly Crash,0
637028,5p5L5MS5oCo15ZMRvumjTW,95.0,[],Alaine & Chris Martin,0
675189,1IlOTtImGFCgCivPRHaVMc,38.0,[],Exeter Flud,0
96357,1QyMfDahz0CqffjFxIhPyK,3.0,[],Илья Козырев,0
720195,3LyXcjEny8tzHkZ6tyvFw1,4.0,['alternative hardcore'],Struckdown,0
35351,0B5GFW22aAZnJHd9AdVQOS,80.0,[],Clem Creevy,39
338928,0ZRhVLpMnn2Acxl5fny4Y9,31.0,[],金子三勇士/小林研一郎/ロンドン・フィルハーモニー管弦楽団,1
747991,0R1lLkoVfqGlkYRSkcm9mX,900.0,[],Generation 11,4
893611,4wdvgHbmMVy6TUB4F2U3Pd,7.0,[],Guamá,0
633184,2wEYQmsShhU6YJhWo1Mfg8,4.0,[],Bea Baker,0
557602,3ocpTSMXIdKEUmDMiMWXJl,317.0,[],Young J,15
354767,1X2cKGJ3MLXZbWFeu2rKuP,79.0,[],The Residency,0
340666,23ye2sJPRQACMGyrSZPUxb,30.0,['demoscene'],Ceekayed,0
843626,67S9UaRlYFAXNHUFcet4Lr,44.0,[],Jean-Christophe Lemay,4
84970,5ndNfClbKR9DBdkjvGZlLj,364.0,[],Ali Avaz,9
211580,6msmBbMqnuccxspULjeEhq,49.0,[],Randy Brooks,1
324490,2WRgZayUxSpjQ5HvGWabSh,24.0,[],Chris R. Windham,0
496968,5KoeSSpgMfTtW4HeS3zIKA,452.0,[],Daddy Cool Kids,7
407433,5iigmUjsvK4TgaXaoBjb04,114.0,[],Somos Piedras Vivas,6
624830,1AJZVTRJLOgXZIByd5aIco,2299.0,[],Julio Revueltas,17
507022,1Xh7NfBiZq2PAyTaKNQ1K8,202.0,[],King Acne,5
1096220,1FCIRrGFXPTJ95tONmokTA,115.0,[],Ambient Chill,4
329913,0GQpfaBOw3pVcwxrgNSMxw,2044.0,['old school uk hip hop'],Hijack,17
313131,7CJebSN5EYni6Z5vSvHSej,14.0,[],Nouvel Orchestre Philharmonique de Radio France,12
213080,4lBJ8WgiGYssAKeF1lkJvL,622.0,[],Brandy Haze,30
619449,1Jy28bowCOmweEh5U4cuP6,1.0,[],Tuan Nguyen Shady,0
784942,52QBZJdHU3pmf7O1qGqZem,93.0,[],Antler,0
419788,3fBQvr2trDgBZsUKEkZdcw,29.0,[],Nayibe La Gitana,0
396193,2KyVRSUrsCz3fqcVWzWUTB,10.0,[],Solarsun,0
857984,08SrBCvtd8vkEEeflXwSHr,341.0,[],Let the River Swell,2
874567,3QHVF822UTdTgMuRqFkvud,107.0,[],Trail,2
605420,5BTh1dHrc5EvGfw2ip93GP,90.0,[],Suralin,0
425066,4sWXsQAXV7hN6mpfFf1IPN,20.0,[],Expertiz,0
643866,3XCPaBfjmVSqAVyqSNXxKB,1104.0,[],SEMENYAK,25
18760,6SOMaN66Jh9mcvapEdTiJt,2997.0,['greek indie'],Vassilikos,26
271084,0itKTaTB3xwSl5Na3TdXM5,5447.0,['kuduro'],PEDRO,36
379232,564LsIVgtL7neJlcaTs7d8,98.0,[],Mr. Hooper,3
59652,3tPA8bUAmdMkwLxtH6ikel,3024.0,['classic russian pop'],Лариса Черникова,25
979321,0jXWifZbUc2Fi1MsPPFDjw,0.0,[],Hans Kalafusz/Sir Neville Marriner,0
480222,5aEOUSDVoe5CXqXvLO5t17,46.0,[],C. Gutta,0
